Timestamp,"CUNY, Undergrad Graduation Date (ex: City Tech, Fall 2018) ",CUNY Tech Prep Graduation Year ,"What best describes you, right now? ",Has the COVID-19 pandemic affected your employment status?,"CTP is creating an Alumni Directory that would include name, CUNY alma mater, email address, LinkedIn URL, and current job title & company— would you be open to CTP including your information in the Directory?","If you are an undergraduate student, where (college name) and what are you studying? ","If you are a graduate student, where do you attend (college name) and what are you studying? ",Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,Are you working full-time or part-time?,What is your title? ,Reflect on when you received a job offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,Are you working in a tech role in New York? ,"If you're NOT working in New York, what state are you working in? ",What's the name of the company where you work? ,What is your title? ,Reflect on when you received an internship offer for either your current tech position or the first tech position you took after graduating from CUNY Tech Prep (whatever came first). Did you receive the offer within 3 months of completing CTP? ,What company made you an internship offer? ,What resources could CUNY Tech Prep provide to best help you in your search? ,"Based on your experience at CUNY Tech Prep, what would you change about the program?",What would you keep the same about the program?,There are many volunteer opportunities available at CUNY Tech Prep. Check off any of the following that you'd be willing to participate in: ,What did you take away from your time with CTP?,Did your internship become a full time job?
2/5/21 1:27,"Brooklyn College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,North Carolina,Red Ventures,Full-time,Associate Engineer ,Yes,,,,,,"Canvs, HBO, NBC, ConEdison",,"I think continuing to branch out and adding more pathways like cyber security, game development, or UX/UI in the future is a great idea.","I love the availability of classes, really makes it easy to cater to different student schedules in addition to providing the opportunity for monthly metro cards so everyone can afford the travel to class. I also think the teachers and TAs are super awesome and do a great job explaining tech concepts and how they are used in actual software engineering roles.","Screening applicants for future cohorts of CUNY Tech Prep, Taking part in Q&A panel(s) on your experience in the tech sector",CTP taught me how to apply tech concepts in order to build projects that resembled what actual software engineers work on.,
2/10/21 16:47,"Baruch College, Spring 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,EY,Full-time,Technology Consultant,Yes,,,,,,,,"No criticisms, the program offered everything I needed when I was there.","Career coach relations were crucial to my success, so I think those will always be relevant and a huge part of what drives the program.","Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","CTP was a large part of bridging the gap in learning I felt that students in my school’s Information Systems major had with other students. The tools I was introduced to, the industry knowledge I picked up from instructors and other students, and the support I received from career coaches propelled me into landing my first full time position.",
2/9/21 19:26,"Hunter, Fall 2017",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely, No, I started a new role, remotely","Yes, but no email address",,,Yes,,Better.com,Full-time,Data Engineer,Yes,,,,,,,,More variety in focuses instead of web dev— though it seems the program is already doing that with the data science track.,"Mentorship, mock interviews, group projects, career training ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Taking part in Q&A panel(s) on your experience in the tech sector",Don’t be afraid to step into the limelight. Reach out to people. Ask questions. Force yourself to do things you don’t want to do. You’ll be surprised at how much you learn when you step out of your comfort zone.,
2/9/21 19:21,"CCNY, Winter 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,BNY Mellon,Full-time,Graduate Developer,No,,,,,,,,"Enforcing industry best practice. For instance make student to have scrum meeting, following agile practice, proper git branching structure and etc","Opportunity like networking event, mock interviews.. basically everything.",,Experience and knowledge in actual development work,
2/10/21 14:05,Brooklyn,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,NuArch,Full-time,Software Developer/Tester,No,No,,,,,NuArch,"Resume review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",N/A,N/A,"Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","Full stack development, intro to devops, project management, and more soft skills.",
2/8/21 21:07,ccny spring 2018,Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,foursquare,Full-time,software engineer,Yes,,,,,,,,"not sure, the program was really good connections",keep the connections with the tech companies,"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",helpful program. people like jackie and emily are super helpful,
2/4/21 9:25,"Queens College, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I started a new role, remotely, Was let go when COVID happened, found new job shortly after (it is remote currently)",Yes,,,Yes,,Ghostery,Full-time,Backend Engineer,Yes,,,,,,,,"Maybe add some more backend/devops topics, i.e. database design, deploying/releasing software, and internet/networking topics",Keep teaching javascript and react,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s)","How to work on teams and open source, and the skills needed to be a software engineer",
2/8/21 21:04,"Medgar Evers, May 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"Yes, my offer was rescinded",Yes,"Medgar Evers College, studying Computer Science.",,,,,,,,,,,,,Google,"Resume review, LinkedIn profile review","Allowing students more time to create groups for their Fall project, I was unfortunate enough to be stuck with a group that did not contribute.","Besides my group being the way they were, the rest of the experience was amazing and I wouldn't change a thing; even the transition to virtual classes during March was handled so well and so smoothly.",Conducting Mock Technical Interviews,I became a more well rounded programmer who also better understood how to navigate in the tech industry.,
2/8/21 20:21,"CCNY, Fall 2021",Fall 2019 - Spring 2020 (Cohort 5),Intern (full-time or part-time),"No, I am still working, now remotely",Yes,"The City College of New York, Computer Science",,Yes,,CUNY RF ,Part-time,Undergraduate Research Assistant ,Yes,Yes,,CUNY RF,Undergraduate Research Assistant ,Yes,"The CUNY Research Foundation (Part Time), NOAA Crest (Part time),","Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network, Technical Interview Prep",Help teams organize during the ice breaker workshop. Teach them how to set up slack/discord with github webhook integrations so that everyone on the team is notified when someone pushes a change. Could prevent them from having merge conflicts and other issues through the semester. ,"The workshops, the mentoring, the fun exercises! ",,"I can't really sum it all up, but it gave me the feedback I needed to hone my technical skills and gave me confidence for how to apply to other positions and job openings. ",
2/12/21 9:58,"CCNY, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated",No,,,,,,,,,,,,,,Science Division at The City College of New York,"At the moment, not much. I have utilized their resources to the fullest extent thus far.","Looking back, I wish there were more hands on experiences during the lectures. I believe in my first semester with CTP, we spent a lot of time in the beginning going over HTML, CSS, and JavaScript. I think the students might benefit from having a much smaller review period of these languages and jumping quicker into the front-end and back-end of full-stack projects. 

For me personally, I think we would have learned more and learner quicker if we did not speak about the theory of many of these topics as much and did more coding and actual assignments within the classroom. Spending majority of the class coding and doing mini projects together while also talking about the mechanics might have been more beneficial for me instead of looking over slides. ",This program as a whole is amazing. The way I was able to interact and connect with new people was easy and great. The resources given was better than at my own college. The capstone projects gave something to work towards. I would keep majority of it the same.,,"I did not just come out of CTP a better programmer, but a much more confident person. The anxiety of starting projects and applying to SWE positions was almost gone because of how CTP prepared me.",
2/16/21 22:04,Fall 2018,Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,No,California,Pixar,Full-time,Production Support Engineer,No,,,,,,,"Networking events (TTP, alumni, etc.)",N/A,Career Coaches and mock interviews,Taking part in Q&A panel(s) on your experience in the tech sector,I had a stronger technical resume and a better understanding of how to write cover letters. The practice we had helped a lot during the technical interview and coding challenge.,
2/8/21 18:34,CCNY Fall 2020,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely, I will be starting my new role in Feb 16th remotely","Yes, but no email address",,,Yes,,BNY Mellon ,Full-time,SETUP Developer track,Yes,,,,,,,,"Nothing particularly, I like this program overall, and it indeed helped me a lot","Career coaching, quality lessons, various workshops and events",,"I learned different technologies and actually used them to build something cool, I think this is a great learning experience, plus there were career coaching and various workshops that really helped me prepare myself for job seeking and interview later on.",
2/8/21 22:04,New York,Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I started a new role, remotely",Yes,Brooklyn College,,No,"Richmond, Virginia",Capital One,Full-time,Software Engineer,Yes,,,,,,,,"I think CTP is an amazing program for college students looking to go into tech. I would have liked to see a stronger referral program backed by previous alum, however I do understand Its a program still at its infancy and will only grow. ","The format that its in, I liked the way CTP focused on both the technical as well as behavioral aspect of job hunting. I think that's pivotal for a Software Engineer role. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",I learned that It can be hard to navigate through academic career and be ready for professional transition at moments notice. It becomes easier if you can learn from your peers and grow. It becomes that much easier to learn the Do's and the Dont's. ,
2/16/21 2:25,"CCNY, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,Yes,,Google,Full-time,Software Engineer,,,,,,,,,"I think that's already being done but I would introduce more tracks that students can choose from (e.g. iOS, Android, Web, AI, Data Science). Back when I was there, there was only one track even if you weren't as interested in Web Development. ","The professional development support (coaches, resume review, and mock interviews) as well as the setup of having some lecture and hands-on time with some instructors that can help guide. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector","I learned that with determination and by applying myself, I can achieve anything and become a great engineer.",
2/8/21 21:15,Spring 2017,Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"Yes, I had to take a job at much lower pay than expected. The market got even worse",Yes,,,Yes,,Virtusa,Full-time,Web Application Developer,No,,,,,,,"Resume review, Networking events (TTP, alumni, etc.), Alumni Slack network",I would put more focus on how to find a job. It is BAD out there for entry-level and even junior-level.,"I loved the lectures about data structures and topics that go beyond school's topics. I learned a lot. Also, the code reviews helped me more than I had expected.","Conducting Mock Technical Interviews, Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",I loved having our little community.,
2/8/21 18:11,"Hunter, Spring 2019",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I started a new role, in person","Yes, but no email address",,,Yes,Pennsylvania,Google,Full-time,Software Engineer,No,,,,,,,,"Maybe it's because I'm not used to bootcamps but teaching web development by giving you a full example project and then make you do it on your own is very not helpful. I remember when I was doing it it was a lot of copy paste of the example project you gave us and not really learning anything. It was something on top of the classes I had already so it wasn't necessarily a priority too. I feel like since you're working for CUNY, securing some type of way to guarantee credits for taking the bootcamp is a good way to go. ",The unlimited metrocards were really nice and convenient. ,,I met some cool people,
2/9/21 10:56,Hunter College Spring 2020,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job",still looking for full time job ,Yes,,,No,,,,,,,,,,,,"LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","I thought everything was great, especially being able to have behavioral interviews after graduating ",Posting on slack about opportunities ,Taking part in Q&A panel(s) on your experience in the tech sector,"I took away how to write a better resume, how to do the STAR method and how to effectively research a company when applying as well as how to find networking events online ",
2/9/21 0:40,"Baruch College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),In the process of starting my own company back in India,Yes,,,,,,,,,,,,,,,,Make learning more hands on. Increase the number of hours for in person classes & learning,The spirit and friendliness of everyone involved. I loved the camaraderie among all CUNY Tech Prep students even though most of them were from different colleges spread out across all five boroughs,,I took away that it takes a lot of effort to organize and upskill individuals who will be entering the workforce. I hope to make the most of the things I learnt at CTP to launch a successful company and hopefully give back to CTP in some form or another. ,
2/10/21 21:34,"Hunter College, Spring 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely","Yes, but no email address",,,No,CT,Travelers,Full-time,Software Developer,Yes,,,,,,,,"I think enforcing a little more behavioral interview practice. Not a lot of students including myself at the time saw benefit from behavioral interviews but they're extremely important. Even now as I mock interview cohort 6, I like to start with a quick ""give me a brief overview of your resume"" and many students aren't as prepared for a behavioral question. ","I thought the lectures had a great balance of theory and hands-on stuff. Very useful being able to code while having a mentor there for guidance just in case. The lectures towards the end of the year were also incredibly useful-Hard/advanced topics such as sockets, cyber security stuff come up a lot in the workplace. The push to network was great too. 
I'd keep everything the same and if possible add even more awesome stuff. ","Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep","I took with me a lot of knowledge gained from mentors, lectures and counselors & a broad network of CTP and CUNY friends.",
2/10/21 11:14,"York, Spring 2017",Fall 2016 - Spring 2017 (Cohort 2),Employee (full-time or part time),"Yes, my role was eliminated",Yes,,,Yes,,Faethm AI,Full-time,Client Onboarding Data Analyst,No,Yes,,Faethm AI,Client Onboarding Data Analyst,No,,,I wish there had been more information/practice for job-hunting and interview preparation,I appreciated the one-on-one mentorship,"Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",It helped me develop confidence in my technical skills.,
2/8/21 21:40,"City College, Fall 2020",Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Datadog,Full-time,Software Engineer,Yes,,,,,,Capital One,,More speakers from industry to get a better idea of how it is to work in tech.,Mock interviews were super useful and helpful.,Conducting Mock Technical Interviews,It was amazing seeing how little I knew prior to the program and managed to learned the necessary skills to build a fully functional project to demo with my team. ,
2/8/21 19:48,Queens Village,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,No,Currently in New York due to wfh but the offer is in Virginia,Capital One,Full-time,Associate Software Engineer,Yes,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","This is far fetch but I'm thinking to structure the program to accommodate other tech related jobs like cyber security ,data analyst, Machine Learning etc. maybe have projects that can encompass more than one field of the industry based on student's interests","Keep educating college students on the tech industry, and networking. ",,"Knowledge of the different branches of the tech industry, what software engineering is, working on a project as a team, communication",
2/9/21 0:56,Fall 2019,Fall 2019 - Spring 2020 (Cohort 5),Employee (full-time or part time),"No, I started a new role, remotely","Yes, but no email address",,,No,Virginia,Capital One,Full-time,Software Engineer Associate,No,,,,,,,,"I feel like the program needs to teach more about scrum methodologies and github practices, because I feel fundamentals are also very important. Also, the instructor should shed some light on job pipelines and different tests such as integration test, unit test, component test and performance.",Fullstack lectures and mock exams especially behavioral.,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep",Learned how to manage time and work as a team.,
2/16/21 16:58,5/1/20,Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated, Yes, my offer was rescinded, Yes, my hours were reduced","Yes, but no email address",CUNY Queens College,,No,,,,,No,,,,,,"NYC Comptroller, Peloton","Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network","More emphasis on online assessments/coding interviews. CTP does a good job making sure you look like a good candidate, and preps well for behavioral interviews but I feel like a deeper dive in algorithms/hackerranks/leetcodes might help even as a ""do-on-your-own-time"" kind of thing",The courses currently offered + the demo night,"Conducting Mock Technical Interviews, Screening applicants for future cohorts of CUNY Tech Prep, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics","Learned technologies that weren't taught in school, helped prep me for interviews, helped enhance my profile as a solid candidate for dev roles",
2/12/21 1:31,"City College, August 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely","Yes, but no email address",,,Yes,,Oscar Health,Full-time,Associate Software Engineer,No,,,,,,,,"It's been way too long for me to remember, and the program's probably changed quite a bit since my cohort.",see above,,"Mostly my skills with React, which helped me get hired.",
2/4/21 13:59,"Baruch College, Spring 2019",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,,No,,Ernst & Young,Full-time,Staff Consultant,Yes,,,,,,,"Networking events (TTP, alumni, etc.), Alumni Slack network","I'd change the potential job prospects offered to students. In my case, when I was recommended to apply to Ernst & Young, I was under the impression that I'd be a technology/software engineering consultant but after about 18 months I've yet to be on a software engineering project. Now I'm thinking to get back into preparing and finding a software engineering but the hours in consulting are brutal and I feel like I'm stuck professionally. Please help :(","The pacing, while somewhat rapid, was conducive to learning. Any faster or slower would've resulted in less engagement IMO. ",,"My time at CTP built my confidence in my technical abilities and the course material enhanced my high level thinking. While I did grow as a software developer and managed to land a job right after college thanks to CTP, I've found myself in a situation where I'm not applying anything I learned from CTP in my day to day work and it's hurting my prospects as a software developer.",
2/10/21 12:31,"Baruch College, Winter 2021",Fall 2019 - Spring 2020 (Cohort 5),"Graduated, looking for a tech job","Yes, my role was eliminated",Yes,,,,,,,,,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network, Frankly, CTP has done a lot for me already. Personally, I simply need to build some projects to improve my confidence in my abilities to work as an SD.","Nothing at all. The areas of opportunity for CTP were mostly due to funding. It is obvious that the program is headed in the right direction and as more funding becomes available the program will continue to be better. In that sense, I envy the future cohorts, but I wouldn't change a thing from my experience at CTP.","The program's managers and staff, especially Emily and Edgardo!",,"Practice, practice, practice both behavioral and technical interviews. I met some amazing and intelligent people there too.",
2/9/21 9:50,"CCNY, Spring 2020",Fall 2018 - Spring 2019 (Cohort 4),Employee (full-time or part time),"No, I started a new role, remotely",Yes,,,Yes,,Scholastic Corporation,Full-time,Associate Software Engineer,Yes,,,,,,,,"If I remember, tech interview sessions (the one where we gather in normal class time and go over interview questions together, not 1 on 1 mock interview) started in the second semester. I think it would be good if even one or two can be in the first semester, for students to get exposure to it.",everything else,,Project collaboration,
2/9/21 21:36,"Brooklyn College, Spring 2021",Fall 2019 - Spring 2020 (Cohort 5),Undergraduate student,"No, I a starting a new role soon.",Yes,Brooklyn College,,No,,,,,No,,,,,,,"Resume review, Cover letter review, LinkedIn profile review, Behavioral interview prep, Networking events (TTP, alumni, etc.), Alumni Slack network",N/A,Everything,"Conducting Mock Technical Interviews, Mentoring one (or more) CUNY Tech Prep Project Team(s), Guest Lecturing Technical and/or Professional Development Topics, Taking part in Q&A panel(s) on your experience in the tech sector",Real life experience and improving skills.,
2/8/21 22:50,"College of Staten Island, Spring 2018",Fall 2017 - Spring 2018 (Cohort 3),Employee (full-time or part time),"No, I am still working, now remotely",Yes,,"NYU, Computer Science ",Yes,,Bloomberg L.P. ,Full-time,Software Engineer,Yes,,,,,,,,Get students to do more mock interviews ,Combine practical tech projects and lectures,Conducting Mock Technical Interviews,The importance of interview prep,
2/8/21 18:07,Baruch 2018,Fall 2016 - Spring 2017 (Cohort 2),"Graduated, looking for a tech job","Yes, my offer was rescinded",Yes,,,No,Looking for a job ,,,,No,,,,,No,,"Resume review, Cover letter review, LinkedIn profile review, Networking events (TTP, alumni, etc.)",Make it more applicable to the job market ,The mentor ship ,"Mentoring one (or more) CUNY Tech Prep Project Team(s), Taking part in Q&A panel(s) on your experience in the tech sector",The technical knowledge ,
